Service|Country|Category|API_Quality(1-5)|Market_Size(1-5)|MCP_Exists(yes/no/unknown)|OpenAPI_Spec(yes/no/unknown)|Auth_Type|Est_Hours(S/M/L/XL)|Priority(HIGH/MED/LOW)|Notes
Core42 (G42)|AE|Cloud/AI|3|3|no|unknown|API Key|L|HIGH|Sovereign cloud; Compass API; GPT-OSS-120B
Emirates Airlines NDC|AE|Travel|4|5|no|unknown|OAuth2|L|HIGH|NDC XML+JSON; seats/fares/booking
Bayut|AE|Real Estate|2|4|no|unknown|API Key (unofficial)|M|HIGH|Unofficial RapidAPI; 10M+ users
Property Finder|AE|Real Estate|2|4|no|unknown|API Key (agency)|M|HIGH|Partner/agency API
DHA Dubai|AE|Healthcare|2|4|no|unknown|OAuth (UAE Pass)|L|HIGH|Malaffi HIE; mandatory for providers
UAE FTA (e-Invoice)|AE|E-Invoice|2|5|no|unknown|Unknown|L|HIGH|PEPPOL-based; mandate phasing in 2025-26
# ============================================================
# SAUDI ARABIA
# ============================================================
ZATCA Fatoora|SA|E-Invoice|4|5|no|unknown|Certificate (CSID) + HMAC|L|HIGH|MANDATORY; production endpoints; UBL; developer forum
Salla|SA|E-Commerce|4|5|no|unknown|OAuth2 (token)|M|HIGH|68K+ merchants; $13B+ sales; ZATCA compliant
Zid|SA|E-Commerce|4|4|no|unknown|API Key|M|HIGH|TikTok Shop + Amazon; logistics API
Amazon.sa|SA|Marketplace|4|4|no|unknown|OAuth2|M|HIGH|SP-API; strong KSA GMV
Foodics KSA|SA|POS|4|4|no|unknown|OAuth2|M|HIGH|30K+ restaurants MENA; ZATCA POS; SAMA fintech
Geidea|SA|POS/Payments|4|4|no|unknown|API Key|M|HIGH|150K+ merchants; SAMA-licensed
Moyasar|SA|Payments|4|4|no|unknown|API Key|S|HIGH|Mada+Visa+MC+Apple Pay; PHP/Node/Flutter SDKs
Tap Payments KSA|SA|Payments|5|5|no|unknown|API Key + HMAC|S|HIGH|mada-certified; 100K+ merchants
PayTabs KSA|SA|Payments|5|4|no|unknown|API Key|S|HIGH|Saudi-founded; full KSA coverage
HyperPay KSA|SA|Payments|3|3|no|unknown|API Key|S|MED|mada + STC Pay support
Amazon Payment Services KSA|SA|Payments|4|4|no|unknown|HMAC|M|HIGH|BNPL integrations
Al Rajhi Bank|SA|Banking|3|5|no|unknown|OAuth2|L|HIGH|Largest Islamic bank globally; open banking
SNB|SA|Banking|3|5|no|unknown|OAuth2|L|HIGH|KSA's largest bank by assets
STC Bank|SA|Banking|3|3|no|unknown|OAuth2|M|HIGH|Digital-native; Salla integrated; SAMA-licensed
STC Pay|SA|Wallet|3|4|no|unknown|OAuth2|M|HIGH|10M+ users; Apple Pay on Mada
Tamara KSA|SA|BNPL|4|4|no|unknown|API Token|S|HIGH|20M users; $1B+ valuation; REST API
Tabby KSA|SA|BNPL|4|4|no|unknown|API Token|S|HIGH|$4.5B valuation; IPO-track on Tadawul
Rasan (Tameeni)|SA|Insurance|3|3|no|unknown|API Key|M|HIGH|Mandatory motor insurance aggregation
SMSA Express|SA|Logistics|3|4|no|unknown|API Key|M|HIGH|Saudi Post subsidiary; REST API
Aramex KSA|SA|Logistics|3|4|no|unknown|SOAP/API Key|M|HIGH|Same API as UAE
Saudi Post (SPL)|SA|Postal|3|4|no|unknown|API Key|M|HIGH|Tracking + shipping; ZATCA address DB
Naqel Express|SA|Logistics|3|3|no|unknown|API Key|M|MED|Via Salla/Zid
Wafeq KSA|SA|Accounting|2|3|no|unknown|API Key|M|HIGH|ZATCA-compliant; Arabic-first
Odoo KSA|SA|ERP|4|4|no|unknown|API Key/JSON-RPC|M|HIGH|ZATCA-certified partner ecosystem
Unifonic KSA|SA|CPaaS|4|5|no|unknown|API Key|S|HIGH|Saudi HQ; SMS/WhatsApp/Voice; OTP; Flow Studio
Bayt.com KSA|SA|HR|3|4|no|unknown|API Key|M|HIGH|Largest GCC job board
Absher|SA|Government|2|5|no|unknown|SMS OTP + login|XL|HIGH|20M+ users; MCIT agreement required
Nafath|SA|Government|2|5|no|unknown|OAuth-like + biometric|L|HIGH|National digital authentication; NCA registration
SABER (SASO)|SA|Government|3|4|no|unknown|API Key|M|HIGH|Mandatory for imported goods; conformity certs
Maroof|SA|Government|3|3|no|unknown|API Key|M|HIGH|Business verification; e-commerce platforms
Nphies|SA|Healthcare|3|4|no|unknown|Unknown|L|HIGH|National HIE; mandatory for providers
Qatar Airways NDC|SA|Travel|4|4|no|unknown|OAuth2|L|HIGH|Full booking API
# ============================================================
# QATAR
# ============================================================
QNB|QA|Banking|3|4|no|unknown|OAuth2|L|HIGH|Qatar's largest bank; pan-MENA
PayTabs Qatar|QA|Payments|4|3|no|unknown|API Key|S|HIGH|QAR currency; Doha Bank settlement
Tap Payments Qatar|QA|Payments|4|3|no|unknown|API Key|S|HIGH|Same API; QAR support
QPay|QA|Payments|2|4|no|unknown|Unknown|L|HIGH|QCB-mandated; local QR payments
Qatar Post|QA|Postal|3|3|no|unknown|API Key|M|HIGH|Tracking + shipping creation
Foodics Qatar|QA|POS|4|3|no|unknown|OAuth2|S|HIGH|Same API as KSA/UAE
Hukoomi|QA|Government|3|4|no|unknown|API Key|L|HIGH|Qatar government portal; national API gateway
Talabat Qatar|QA|Food Delivery|2|4|no|unknown|Unknown|L|MED|Partner API only
Qatar Airways NDC|QA|Travel|4|4|no|unknown|OAuth2|L|HIGH|NDC XML+REST; full booking API
Ooredoo Qatar|QA|Telecom|2|4|no|unknown|Developer registration|M|MED|CPaaS + IoT + network
# ============================================================
# MALAYSIA
# ============================================================
LHDN MyInvois|MY|E-Invoice|4|5|no|unknown|OAuth 2.0 + X.509 Digital Cert|M|HIGH|MANDATORY; 15 APIs; sandbox; Postman collection
Shopee MY|MY|Marketplace|4|5|no|unknown|OAuth 2.0 + HMAC-SHA256|M|HIGH|#1 e-commerce; IP whitelisting
Lazada MY|MY|Marketplace|4|4|no|unknown|App Key/Secret + SHA256|M|HIGH|Full seller lifecycle; Node.js SDK
GrabFood MY|MY|Food Delivery|4|4|no|yes|OAuth 2.0|M|HIGH|Official SDKs in 4 langs; sandbox; OpenAPI
Foodpanda MY|MY|Food Delivery|3|3|no|unknown|OAuth 2.0/Bearer|M|MED|POS integration; tokens 2hr validity
EasyStore|MY|E-Commerce|3|3|no|unknown|OAuth|M|MED|50K+ merchants; Postman docs
Billplz|MY|Payments|4|4|no|unknown|HTTP Basic Auth (API Key)|S|HIGH|Excellent docs; sandbox; webhooks X-Signature
Revenue Monster|MY|Payments|4|3|no|unknown|OAuth 2.0 + RSA keys|S|HIGH|SDKs in PHP/Python/Go/JS; sandbox
Fiuu (ex-Razer MS)|MY|Payments|4|3|no|unknown|Verify Key+Secret+Hash|S|HIGH|GitHub specs; PCI-DSS v4.0; 8 countries
iPay88|MY|Payments|3|4|no|unknown|SHA256 Hash Signature|M|MED|#1 by volume; redirect-based
SenangPay|MY|Payments|3|3|no|unknown|HMAC SHA256|S|MED|Sandbox; GitHub catalog
Maybank|MY|Banking|3|5|no|unknown|Custom encryption + Payee Code|M|MED|MConnect sandbox; PHP/Java SDKs
Luno MY|MY|Crypto|4|3|no|yes|API Key+Secret (Basic Auth)|S|MED|Official SDKs in Go/Python/PHP; Swagger spec
Pos Malaysia|MY|Logistics|3|3|no|unknown|API Key|S|MED|Postman collection; devs use EasyParcel
J&T Express MY|MY|Logistics|3|3|no|unknown|Custcode + API Key|S|MED|Laravel packages; sandbox
Ninja Van MY|MY|Logistics|3|3|no|unknown|OAuth 2.0|M|MED|VIP account required; sandbox
Lalamove MY|MY|Logistics|4|3|no|unknown|API Key + HMAC Secret|S|HIGH|Official Node/PHP SDKs; v3 with 5min pricing
SQL Accounting|MY|Accounting|3|4|no|unknown|API Key/Token|M|MED|300K+ companies; LHDN integration
AutoCount|MY|Accounting|3|4|no|unknown|Token-based|M|MED|240K+ companies; NuGet packages
EasyParcel|MY|Logistics|3|3|no|unknown|API Key|M|MED|Shipping aggregator
U Mobile|MY|Telecom|3|3|no|unknown|CAMARA/OAuth|M|MED|First MY GSMA Open Gateway portal
# ============================================================
# PHILIPPINES
# ============================================================
PayMongo|PH|Payments|5|4|no|unknown|API Key (Basic Auth pk_/sk_)|S|HIGH|Stripe-like; GCash/Maya/QR; self-service; PHP SDK
Globe Labs|PH|Telecom|5|4|no|unknown|OAuth 2.0 (App ID+Secret)|S|HIGH|7 APIs; SDKs in 8 languages; free PHP 1K credits
Maya/PayMaya|PH|Payments|4|4|no|unknown|Basic Auth (API Key)|M|HIGH|Checkout/Vault/Disbursement; SDKs in 6 langs
UnionBank|PH|Banking|4|4|no|unknown|OAuth 2.0|M|HIGH|~1000 APIs; 200+ institutions; 40M API calls/month
GCash|PH|Wallet|3|5|no|unknown|RSA256 digital signatures|M|HIGH|80M+ users; sandbox; Mini Program platform
BPI|PH|Banking|3|4|no|unknown|OAuth 2.0 + JWT/JWE|M|MED|Sandbox + UAT; requires VPN
Shopee PH|PH|Marketplace|4|5|no|unknown|OAuth 2.0 + HMAC-SHA256|M|HIGH|Same global platform; seller APIs
Lazada PH|PH|Marketplace|4|4|no|unknown|App Key/Secret + SHA256|M|HIGH|Same global platform
GrabFood PH|PH|Food Delivery|4|4|no|yes|OAuth 2.0|M|HIGH|Official SDKs; sandbox; OpenAPI
Coins.ph|PH|Crypto|4|3|no|unknown|HMAC SHA-384|S|MED|REST + WebSocket; SDKs; white-label API
PDAX|PH|Crypto|3|2|no|unknown|HMAC SHA-384|S|LOW|Sandbox available
Dragonpay|PH|Payments|3|3|no|unknown|SHA1 Digest|M|MED|Sandbox; 14+ banks; SOAP + REST
LBC Express|PH|Logistics|3|3|no|unknown|API Key|S|MED|Self-service portal; 1252+ branches
Lalamove PH|PH|Logistics|4|3|no|unknown|API Key + HMAC|S|HIGH|Official Node/PHP SDKs; v3 sandbox
Sprout Solutions|PH|HR|3|3|no|unknown|Partner credentials|M|MED|#1 PH HR/Payroll SaaS
eGov PH|PH|Government|3|3|no|unknown|X-Secret-Code + Token|M|MED|12 APIs; 42 agencies integrated
BIR EIS|PH|E-Invoice|3|4|no|unknown|JSON Web Signature|M|MED|Mandatory Dec 2026 for large taxpayers
PhilSys/NIDAS|PH|Identity|3|3|no|unknown|TSP-based API|M|MED|56M+ authentications
# ============================================================
# BANGLADESH
# ============================================================
SSLCommerz|BD|Payments|4|4|no|unknown|Store ID + Store Password|S|HIGH|#1 gateway; sandbox; SDKs in 9+ platforms; 174 repos
bKash|BD|Payments|4|5|no|unknown|OAuth (app_key+secret+user/pass)|M|HIGH|70M+ users; sandbox; 11 GitHub repos
Nagad|BD|Payments|3|5|no|unknown|RSA public/private key pair|M|HIGH|#2 MFS; sandbox; community SDKs in 5 languages
aamarPay|BD|Payments|4|2|no|unknown|Store ID + Signature Key|S|MED|Sandbox; Node/PHP/Flutter SDKs
ShurjoPay|BD|Payments|4|2|no|unknown|Username+Password -> JWT|S|MED|SDKs in 6 platforms; 4 RESTful APIs
Daraz BD|BD|Marketplace|4|4|no|unknown|API Key + User ID|M|HIGH|#1 e-commerce; Alibaba-backed; full seller lifecycle
Foodpanda BD|BD|Food Delivery|3|3|no|unknown|OAuth 2.0|M|MED|Global Delivery Hero API
Pathao Courier|BD|Logistics|4|4|no|unknown|OAuth2 (client cred+user/pass)|M|HIGH|#1 courier; Python/PHP/Laravel/WooCommerce SDKs
Steadfast Courier|BD|Logistics|4|3|no|unknown|API Key + Secret Key|S|HIGH|Official Laravel; bulk 500; fastest-growing
RedX|BD|Logistics|3|3|no|unknown|Bearer Token|S|MED|Laravel package; 64 districts
eCourier|BD|Logistics|3|3|no|unknown|API-KEY+API-SECRET+USER-ID|S|MED|PDF docs v5.5; Laravel/WP/WooCommerce
Grameenphone|BD|Telecom|3|5|no|unknown|Partner credentials|M|MED|80M subscribers; DOB/Recharge/SMS/IoT
Barikoi|BD|Maps|4|2|no|unknown|API Key|S|MED|BD-focused geocoding/mapping
# ============================================================
# VIETNAM
# ============================================================
Shopee VN|VN|Marketplace|4|5|no|unknown|OAuth 2.0 + HMAC-SHA256|M|HIGH|$29.8B GMV; sandbox; community SDKs
Tiki|VN|Marketplace|4|4|no|unknown|OAuth 2.0|M|HIGH|JD.com-backed; sandbox; webhooks
Lazada VN|VN|Marketplace|4|4|no|unknown|App Key + HMAC-SHA256|M|HIGH|Alibaba; Node.js SDK
GrabFood VN|VN|Food Delivery|4|4|no|yes|OAuth 2.0|M|HIGH|Official SDKs; OpenAPI spec; sandbox
KiotViet|VN|POS|4|4|yes|unknown|OAuth 2.0|S|HIGH|100K+ retailers; existing MCP; webhooks
Haravan|VN|E-Commerce|4|3|no|unknown|OAuth 2.0 + JWT|M|HIGH|50K+ merchants; Shopify-like API; webhooks
Sapo POS|VN|POS|3|3|no|unknown|API Key/Basic Auth or OAuth|M|MED|App store ecosystem; n8n
BIDV|VN|Banking|4|5|no|unknown|Client ID/Secret + API Key|L|HIGH|15 API packages; sandbox; best state bank API
VietinBank|VN|Banking|4|5|no|unknown|OAuth 2.0 + OpenID Connect|L|HIGH|Hundreds of APIs; sandbox; 1000+ partners
TPBank|VN|Banking|3|3|no|unknown|Developer credentials|M|HIGH|eWallet/xSale/Fund Transfer; sandbox
MB Bank|VN|Banking|2|4|yes|unknown|Username/password + CAPTCHA|S|HIGH|Existing MCP: mbbank-mcp; reverse-engineered
VNPay|VN|Payments|4|5|no|unknown|HMAC-SHA512|M|HIGH|40M+ users; 100K+ merchants; sandbox; 5 lang demos
Momo|VN|Payments|4|5|no|unknown|HMAC-SHA256|M|HIGH|50M+ users; ~70% wallet share; V3 API; sandbox
ZaloPay|VN|Payments|4|4|no|unknown|HmacSHA256 (app_id+key1/key2)|M|HIGH|20M+ users; sandbox; GitHub: zalopay-oss
OnePay|VN|Payments|3|3|no|unknown|HMAC-SHA256|M|MED|PCI-DSS; domestic + international
AppotaPay|VN|Payments|3|2|no|unknown|JWT Token|M|MED|Only VN payment using JWT; subscription/recurring
ShopeePay VN|VN|Payments|3|4|no|unknown|OAuth 2.0 + HMAC-SHA256|M|MED|Sandbox; QR/Direct Pay
GHN|VN|Logistics|4|4|no|unknown|API Token + ShopId|M|HIGH|Excellent English docs; sandbox; Node.js SDK
GHTK|VN|Logistics|4|4|no|unknown|API Token header|M|HIGH|English + Vietnamese; staging env; PHP/Ruby
Viettel Post|VN|Logistics|4|4|no|unknown|JWT/Bearer Token|M|HIGH|Widest VN coverage; NuGet package
Ahamove|VN|Logistics|4|2|no|unknown|API Key + Token|M|MED|Best DX; English docs; Postman; AI assistant
MISA AMIS|VN|Accounting|3|5|no|unknown|OAuth 2.0-like|L|HIGH|250K+ customers; API limitations
VN e-Invoice (Viettel S-Invoice)|VN|E-Invoice|4|5|no|unknown|Basic Auth (tax code)|M|HIGH|MANDATORY; all VN businesses; sandbox; Postman
VietnamWorks|VN|HR|4|3|no|unknown|OAuth 2.0|M|HIGH|#1 job board; sandbox; RapidAPI
Base.vn|VN|SaaS Platform|4|3|no|unknown|Access Token|M|HIGH|20+ product APIs; published about MCP
Stringee|VN|CPaaS|4|3|no|unknown|JWT|M|HIGH|3K+ enterprises; 40M+ end users; voice/SMS/video
Coc Coc|VN|Search|3|4|no|unknown|Contact sales|M|MED|30M+ users; AI/LLM augmentation
FPT Cloud|VN|Cloud|4|3|no|unknown|API Key/IAM|M|HIGH|Most mature VN cloud; English; AI Factory
CMC Cloud|VN|Cloud|3|3|no|unknown|API Key|M|MED|REST API; Samsung SDS stake
Zalo OA API|VN|Messaging|4|5|no|unknown|OAuth 2.0|M|HIGH|70M+ users; V3 API; 10 req/s per OA
Zalo Social/Login|VN|Identity|4|4|no|unknown|OAuth 2.0 + PKCE|S|HIGH|Social login for 70M+ users
Cho Tot (chotot.com)|VN|Classifieds|3|4|no|unknown|None for reads|M|HIGH|10M+ monthly; public JSON API; no auth for reads
dichvucong.gov.vn|VN|Government|3|4|yes|unknown|Government credentials|M|HIGH|Existing MCP: mcp-dichvucong; HCMC 30+ APIs
# ============================================================
# THAILAND
# ============================================================
Shopee TH|TH|Marketplace|4|5|no|unknown|OAuth 2.0 + HMAC-SHA256|M|HIGH|Dominant SEA; same API as VN
Lazada TH|TH|Marketplace|4|4|no|unknown|App Key + HMAC-SHA256|M|HIGH|SDKs in 5 languages; API Explorer
GrabFood TH|TH|Food Delivery|4|4|no|yes|OAuth 2.0|M|HIGH|Official SDKs (Python/Java/Go/Node); OpenAPI
SCB|TH|Banking|4|4|no|unknown|OAuth 2.0|M|HIGH|First Thai Open API; sandbox + simulator
Bangkok Bank|TH|Banking|4|5|no|unknown|JWT + HMAC-SHA256 + mTLS|M|HIGH|4.5T THB assets; sandbox; corporate-focused
KBank (KBTG)|TH|Banking|4|5|no|unknown|OAuth 2.0 + mTLS|L|HIGH|Most advanced Thai bank APIs; 20M mobile
Krungthai Bank|TH|Banking|3|5|no|unknown|OAuth 2.0|M|MED|30M+ Paotang users; Direct Debit/Fund Transfer
TTB Bank|TH|Banking|2|3|no|unknown|OAuth 2.0/JWT|M|MED|Portal exists; limited docs
Opn Payments (Omise)|TH|Payments|5|4|yes|yes|API Key (public+secret)|M|HIGH|Official MCP: omise-mcp; best docs quality; 8+ libs; OpenAPI
2C2P|TH|Payments|4|4|no|unknown|JWT (HMAC-SHA256)|M|HIGH|SEA-wide; sandbox; PromptPay/TrueMoney/LINE Pay
Rabbit LINE Pay|TH|Payments|3|3|no|unknown|Channel ID+Secret+HMAC-SHA256|M|MED|Best via Omise/2C2P
Bitkub|TH|Crypto|4|5|no|unknown|HMAC (X-BTK-APIKEY+SIGN)|M|HIGH|~90% Thai crypto share; official GitHub docs
Flash Express TH|TH|Logistics|4|3|no|unknown|API Key|M|HIGH|1M+ parcels/day; full API
Thailand Post EMS|TH|Postal|4|4|no|unknown|Token-based (monthly refresh)|S|HIGH|1K-10K tracking/day; PHP/React libs
Kerry Express TH|TH|Logistics|2|4|no|unknown|API key + partner creds|M|MED|Partner-gated; best via aggregator
FlowAccount|TH|Accounting|4|3|no|yes|OAuth 2.0|S|HIGH|#1 Thai cloud accounting; OpenAPI; sandbox; 40K+ SMEs
PEAK Account|TH|Accounting|3|3|no|unknown|API Key|M|MED|Leading SaaS; True/CP Group invested
RD e-Tax Invoice|TH|E-Invoice|3|5|no|unknown|Digital certificate + token|M|MED|Mandatory VAT e-invoice; XML format
LINE Messaging API|TH|Messaging|4|5|yes|unknown|Channel Access Token (Bearer)|M|HIGH|Official MCP: line-bot-mcp-server; 53M+ TH users; 2K req/s
LINE Pay API|TH|Payments|3|4|no|unknown|Channel ID+Secret+HMAC-SHA256|S|HIGH|Millions of Thai users
LINE Shopping API|TH|Commerce|3|3|no|unknown|API Key (X-API-KEY)|S|HIGH|Thailand-specific
LINE Ads API|TH|Advertising|3|3|no|unknown|Access Key+Secret+JWS|M|HIGH|Corporate; campaign management
ThaiBulkSMS|TH|SMS|4|2|no|unknown|API Key+Secret (Basic Auth)|S|MED|Simplest API; 120 TPS; npm package
TikTok TH|TH|Advertising|4|4|no|unknown|OAuth 2.0|M|HIGH|Global API; full campaign CRUD; official SDKs
Agoda|TH|Travel|4|5|yes|unknown|Site ID + API Key|M|HIGH|Official MCP: agoda-com/api-agent; Content/Search/Book
12Go Asia|TH|Travel|3|3|no|unknown|Code + SHA1 signature|M|HIGH|Operator SDK on GitHub; 26 countries
JobsDB TH|TH|HR|3|3|no|unknown|OAuth 2.0 (Auth0)|M|MED|GraphQL API; 7-stage certification
Grab TH|TH|Transport|3|5|no|unknown|OAuth 2.0 (GrabID)|M|HIGH|GrabPlatform: transport/logistics/payments/identity
ThaID/NDID|TH|Identity|2|4|no|unknown|Biometric + blockchain|L|HIGH|44+ state agencies; platform membership
Revenue Dept (rd.go.th)|TH|Government|3|5|no|unknown|Digital certificate/token|M|HIGH|11 SOAP services; CheckTIN; VAT verification
AIS Open API|TH|Telecom|2|4|no|unknown|Partner OAuth/API Key|M|MED|GSMA SIM Swap/Location/QoS; 46M+ subs
